#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000970000000,-0.154458,-0.079694,0.548823,0.246230,0.039468,0.011201,-0.968343,-0.453131,-0.256507,0.165954
100000980000000,-0.159070,-0.082312,0.550501,0.246211,0.039180,0.010954,-0.968362,-0.460211,-0.260613,0.167349
100000990000000,-0.163751,-0.084971,0.552192,0.246194,0.038896,0.010713,-0.968381,-0.467248,-0.264657,0.168755
100001000000000,-0.168503,-0.087669,0.553898,0.246179,0.038615,0.010477,-0.968398,-0.474243,-0.268641,0.170171
100001010000000,-0.173324,-0.090407,0.555619,0.246166,0.038336,0.010248,-0.968415,-0.481195,-0.272566,0.171598
100001020000000,-0.178213,-0.093182,0.557353,0.246155,0.038061,0.010026,-0.968431,-0.488105,-0.276432,0.173035
100001030000000,-0.183172,-0.095996,0.559102,0.246145,0.037790,0.009811,-0.968446,-0.494974,-0.280242,0.174482
100001040000000,-0.188199,-0.098847,0.560865,0.246138,0.037522,0.009603,-0.968461,-0.501801,-0.283998,0.175940
100001050000000,-0.193293,-0.101734,0.562643,0.246132,0.037258,0.009404,-0.968474,-0.508587,-0.287700,0.177408
100001060000000,-0.198455,-0.104658,0.564436,0.246128,0.036998,0.009213,-0.968487,-0.515332,-0.291351,0.178885
100001070000000,-0.203684,-0.107617,0.566243,0.246124,0.036741,0.009031,-0.968500,-0.522037,-0.294953,0.180373
100001080000000,-0.208979,-0.110611,0.568066,0.246123,0.036487,0.008856,-0.968511,-0.528701,-0.298506,0.181871
100001090000000,-0.214341,-0.113641,0.569903,0.246122,0.036238,0.008691,-0.968522,-0.535326,-0.302014,0.183378
100001100000000,-0.219768,-0.116704,0.571756,0.246122,0.035992,0.008534,-0.968533,-0.541910,-0.305478,0.184895
100001110000000,-0.225261,-0.119801,0.573624,0.246123,0.035748,0.008385,-0.968543,-0.548455,-0.308899,0.186420
100001120000000,-0.230819,-0.122932,0.575507,0.246124,0.035508,0.008245,-0.968553,-0.554961,-0.312280,0.187954
100001130000000,-0.236441,-0.126096,0.577405,0.246126,0.035270,0.008113,-0.968562,-0.561427,-0.315622,0.189497
100001140000000,-0.242128,-0.129293,0.579319,0.246129,0.035035,0.007988,-0.968571,-0.567855,-0.318927,0.191048
100001150000000,-0.247878,-0.132521,0.581248,0.246131,0.034803,0.007871,-0.968579,-0.574243,-0.322196,0.192606
100001160000000,-0.253692,-0.135782,0.583193,0.246134,0.034572,0.007762,-0.968588,-0.580592,-0.325431,0.194173
100001170000000,-0.259570,-0.139075,0.585154,0.246138,0.034343,0.007659,-0.968596,-0.586903,-0.328635,0.195746
100001180000000,-0.265509,-0.142399,0.587131,0.246141,0.034116,0.007564,-0.968604,-0.593174,-0.331807,0.197326
100001190000000,-0.271512,-0.145755,0.589123,0.246144,0.033891,0.007474,-0.968612,-0.599406,-0.334949,0.198912
100001200000000,-0.277576,-0.149141,0.591131,0.246148,0.033666,0.007391,-0.968619,-0.605600,-0.338064,0.200505
100001210000000,-0.283701,-0.152558,0.593155,0.246151,0.033443,0.007314,-0.968627,-0.611754,-0.341151,0.202103
100001220000000,-0.289888,-0.156005,0.595195,0.246154,0.033220,0.007242,-0.968634,-0.617868,-0.344212,0.203706
100001230000000,-0.296136,-0.159482,0.597252,0.246158,0.032998,0.007175,-0.968641,-0.623944,-0.347249,0.205314
100001240000000,-0.302444,-0.162990,0.599324,0.246161,0.032776,0.007112,-0.968649,-0.629980,-0.350261,0.206926
100001250000000,-0.308812,-0.166527,0.601412,0.246164,0.032555,0.007054,-0.968656,-0.635976,-0.353251,0.208542
100001260000000,-0.315239,-0.170093,0.603517,0.246166,0.032333,0.007000,-0.968663,-0.641932,-0.356219,0.210161
100001270000000,-0.321726,-0.173689,0.605638,0.246169,0.032110,0.006949,-0.968670,-0.647848,-0.359165,0.211784
100001280000000,-0.328272,-0.177314,0.607775,0.246172,0.031887,0.006902,-0.968677,-0.653723,-0.362091,0.213408
100001290000000,-0.334876,-0.180968,0.609929,0.246174,0.031663,0.006857,-0.968684,-0.659557,-0.364996,0.215035
100001300000000,-0.341538,-0.184651,0.612098,0.246176,0.031438,0.006815,-0.968691,-0.665350,-0.367882,0.216664
100001310000000,-0.348257,-0.188362,0.614284,0.246178,0.031211,0.006775,-0.968698,-0.671102,-0.370748,0.218294
100001320000000,-0.355034,-0.192102,0.616486,0.246180,0.030984,0.006738,-0.968705,-0.676811,-0.373596,0.219924
100001330000000,-0.361868,-0.195870,0.618705,0.246182,0.030755,0.006701,-0.968712,-0.682478,-0.376424,0.221555
100001340000000,-0.368757,-0.199666,0.620940,0.246184,0.030524,0.006666,-0.968719,-0.688103,-0.379235,0.223185
100001350000000,-0.375703,-0.203490,0.623191,0.246185,0.030292,0.006632,-0.968727,-0.693684,-0.382027,0.224814
100001360000000,-0.382704,-0.207342,0.625459,0.246187,0.030058,0.006599,-0.968734,-0.699222,-0.384802,0.226442
100001370000000,-0.389760,-0.211221,0.627743,0.246188,0.029821,0.006567,-0.968741,-0.704716,-0.387558,0.228069
100001380000000,-0.396871,-0.215128,0.630043,0.246190,0.029583,0.006535,-0.968748,-0.710166,-0.390296,0.229693
100001390000000,-0.404036,-0.219062,0.632360,0.246191,0.029342,0.006502,-0.968755,-0.715571,-0.393016,0.231314
100001400000000,-0.411255,-0.223023,0.634692,0.246192,0.029098,0.006470,-0.968762,-0.720930,-0.395718,0.232932
100001410000000,-0.418527,-0.227010,0.637041,0.246194,0.028852,0.006438,-0.968770,-0.726243,-0.398402,0.234547
100001420000000,-0.425851,-0.231025,0.639406,0.246195,0.028605,0.006405,-0.968777,-0.731511,-0.401066,0.236157
100001430000000,-0.433228,-0.235066,0.641787,0.246196,0.028354,0.006371,-0.968784,-0.736731,-0.403713,0.237763
100001440000000,-0.440657,-0.239133,0.644184,0.246197,0.028100,0.006337,-0.968792,-0.741904,-0.406340,0.239364
