#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100002880000000,0.000065089,-0.069332205,0.000003189,0.005375087,0.000002764,9.678555489
100002890000000,0.000063182,-0.068678051,0.000003307,0.005295604,0.000002168,9.676934242
100002900000000,0.000061145,-0.068012178,0.000002760,0.005213588,0.000001162,9.675337791
100002910000000,0.000059095,-0.067333788,0.000002178,0.005115986,0.000000939,9.673754692
100002920000000,0.000056956,-0.066643804,0.000001809,0.005019546,0.000000745,9.672196388
100002930000000,0.000054922,-0.065943077,0.000001572,0.004940212,0.000000864,9.670660019
100002940000000,0.000053016,-0.065230228,0.000001384,0.004842937,0.000001222,9.669144630
100002950000000,0.000051241,-0.064505860,0.000000664,0.004747629,0.000000522,9.667653084
100002960000000,0.000049564,-0.063770160,0.000000178,0.004652321,0.000000939,9.666181564
100002970000000,0.000047735,-0.063023739,0.000000210,0.004558265,0.000000939,9.664732933
100002980000000,0.000046126,-0.062266119,0.000000111,0.004463255,0.000001267,9.663301468
100002990000000,0.000044270,-0.061497100,-0.000000406,0.004368246,0.000000149,9.661906242
100003000000000,0.000042833,-0.060716312,-0.000000921,0.004272282,0.000000879,9.660520554
100003010000000,0.000041065,-0.059923980,-0.000000966,0.004176676,0.000000522,9.659161568
100003020000000,0.000039425,-0.059118982,-0.000001392,0.004064023,0.000000194,9.657817841
100003030000000,0.000037806,-0.058302712,-0.000001557,0.003969371,0.000000447,9.656496048
100003040000000,0.000036233,-0.057474639,-0.000001634,0.003859401,0.000000134,9.655207634
