#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100001120000000,1.401606,-0.045711,0.035384,0.997823,-0.006978,-0.056749,-0.032860,1.707040,-0.113550,0.089023
100001130000000,1.418731,-0.046855,0.036281,0.997797,-0.006990,-0.057039,-0.033145,1.718048,-0.115273,0.090416
100001140000000,1.435967,-0.048017,0.037193,0.997771,-0.007002,-0.057325,-0.033427,1.729111,-0.117002,0.091816
100001150000000,1.453314,-0.049195,0.038118,0.997745,-0.007013,-0.057608,-0.033707,1.740228,-0.118739,0.093223
100001160000000,1.470772,-0.050391,0.039057,0.997720,-0.007024,-0.057887,-0.033984,1.751399,-0.120483,0.094637
100001170000000,1.488342,-0.051605,0.040011,0.997694,-0.007034,-0.058163,-0.034259,1.762624,-0.122234,0.096058
100001180000000,1.506025,-0.052836,0.040978,0.997669,-0.007044,-0.058435,-0.034531,1.773900,-0.123991,0.097486
100001190000000,1.523820,-0.054085,0.041960,0.997644,-0.007053,-0.058704,-0.034800,1.785229,-0.125756,0.098921
100001200000000,1.541729,-0.055351,0.042957,0.997619,-0.007062,-0.058969,-0.035067,1.796608,-0.127526,0.100362
100001210000000,1.559753,-0.056635,0.043968,0.997594,-0.007070,-0.059231,-0.035331,1.808038,-0.129304,0.101810
100001220000000,1.577890,-0.057937,0.044993,0.997569,-0.007077,-0.059489,-0.035593,1.819518,-0.131087,0.103265
100001230000000,1.596143,-0.059257,0.046033,0.997545,-0.007084,-0.059744,-0.035852,1.831046,-0.132877,0.104725
100001240000000,1.614511,-0.060595,0.047087,0.997520,-0.007091,-0.059995,-0.036109,1.842623,-0.134673,0.106193
100001250000000,1.632996,-0.061951,0.048157,0.997496,-0.007097,-0.060243,-0.036363,1.854248,-0.136475,0.107666
100001260000000,1.651596,-0.063324,0.049241,0.997472,-0.007103,-0.060487,-0.036615,1.865920,-0.138282,0.109146
100001270000000,1.670314,-0.064716,0.050340,0.997448,-0.007108,-0.060728,-0.036864,1.877638,-0.140095,0.110631
100001280000000,1.689149,-0.066126,0.051453,0.997424,-0.007113,-0.060966,-0.037110,1.889402,-0.141914,0.112123
100001290000000,1.708102,-0.067555,0.052582,0.997401,-0.007117,-0.061200,-0.037354,1.901211,-0.143739,0.113621
100001300000000,1.727174,-0.069001,0.053726,0.997378,-0.007121,-0.061430,-0.037596,1.913065,-0.145568,0.115125
100001310000000,1.746364,-0.070466,0.054885,0.997355,-0.007124,-0.061657,-0.037835,1.924962,-0.147403,0.116634
100001320000000,1.765673,-0.071949,0.056059,0.997332,-0.007127,-0.061881,-0.038071,1.936903,-0.149243,0.118149
100001330000000,1.785102,-0.073451,0.057248,0.997309,-0.007129,-0.062102,-0.038305,1.948885,-0.151088,0.119670
100001340000000,1.804651,-0.074971,0.058452,0.997287,-0.007131,-0.062319,-0.038537,1.960910,-0.152937,0.121196
100001350000000,1.824320,-0.076510,0.059672,0.997264,-0.007133,-0.062532,-0.038766,1.972976,-0.154792,0.122728
100001360000000,1.844111,-0.078067,0.060907,0.997242,-0.007134,-0.062742,-0.038993,1.985082,-0.156651,0.124265
100001370000000,1.864022,-0.079643,0.062157,0.997220,-0.007135,-0.062949,-0.039217,1.997228,-0.158514,0.125807
100001380000000,1.884055,-0.081237,0.063423,0.997199,-0.007135,-0.063153,-0.039439,2.009414,-0.160382,0.127355
100001390000000,1.904210,-0.082850,0.064704,0.997177,-0.007135,-0.063353,-0.039659,2.021638,-0.162254,0.128908
100001400000000,1.924488,-0.084482,0.066001,0.997156,-0.007134,-0.063550,-0.039876,2.033900,-0.164130,0.130465
100001410000000,1.944889,-0.086133,0.067313,0.997135,-0.007133,-0.063744,-0.040091,2.046199,-0.166011,0.132028
100001420000000,1.965412,-0.087802,0.068641,0.997115,-0.007132,-0.063934,-0.040304,2.058535,-0.167895,0.133596
100001430000000,1.986059,-0.089491,0.069985,0.997094,-0.007130,-0.064121,-0.040514,2.070908,-0.169783,0.135169
100001440000000,2.006831,-0.091198,0.071345,0.997074,-0.007128,-0.064304,-0.040722,2.083315,-0.171674,0.136746
100001450000000,2.027726,-0.092924,0.072720,0.997054,-0.007126,-0.064485,-0.040928,2.095757,-0.173569,0.138328
100001460000000,2.048746,-0.094670,0.074111,0.997034,-0.007123,-0.064662,-0.041131,2.108234,-0.175468,0.139915
100001470000000,2.069891,-0.096434,0.075519,0.997014,-0.007119,-0.064836,-0.041332,2.120744,-0.177370,0.141506
100001480000000,2.091161,-0.098217,0.076942,0.996995,-0.007115,-0.065006,-0.041531,2.133287,-0.179275,0.143102
100001490000000,2.112556,-0.100019,0.078381,0.996976,-0.007111,-0.065174,-0.041728,2.145862,-0.181183,0.144702
100001500000000,2.134078,-0.101841,0.079836,0.996957,-0.007107,-0.065338,-0.041923,2.158469,-0.183094,0.146306
100001510000000,2.155726,-0.103681,0.081307,0.996938,-0.007102,-0.065499,-0.042115,2.171107,-0.185008,0.147915
100001520000000,2.177500,-0.105541,0.082794,0.996920,-0.007097,-0.065656,-0.042305,2.183775,-0.186924,0.149528
100001530000000,2.199401,-0.107420,0.084297,0.996902,-0.007091,-0.065811,-0.042493,2.196473,-0.188844,0.151144
100001540000000,2.221430,-0.109318,0.085817,0.996884,-0.007085,-0.065962,-0.042679,2.209201,-0.190765,0.152765
100001550000000,2.243586,-0.111235,0.087353,0.996866,-0.007079,-0.066110,-0.042863,2.221957,-0.192690,0.154390
100001560000000,2.265869,-0.113171,0.088905,0.996849,-0.007072,-0.066255,-0.043045,2.234740,-0.194616,0.156019
100001570000000,2.288281,-0.115127,0.090473,0.996832,-0.007065,-0.066396,-0.043224,2.247552,-0.196545,0.157651
100001580000000,2.310820,-0.117102,0.092058,0.996815,-0.007058,-0.066535,-0.043402,2.260390,-0.198475,0.159287
100001590000000,2.333489,-0.119097,0.093659,0.996798,-0.007050,-0.066670,-0.043577,2.273254,-0.200408,0.160927
100001600000000,2.356286,-0.121111,0.095276,0.996782,-0.007042,-0.066803,-0.043751,2.286144,-0.202342,0.162570
